Day,Time,Session topic,icon,link
Day 1,09:30,"Arrival, meeting  setup",,
Day 1,10:00,Brief introduction of attendees,,
Day 1,10:30,Course overview,,../sessions/introduction.html
Day 1,11:00,Overview of R and RStudio,,../sessions/introduction.html
Day 1,11:30,Basic R Syntax and Operations,,../sessions/basic-syntax.html
Day 1,13:00,Lunch,,
Day 1,14:00,Discussion day 1,,../appendix/discussion.qmd#discussion-day-one
Day 1,14:30,R markdown basics,,../sessions/rmarkdown-basics.html
Day 1,15:30,Vectors and factors,,../sessions/vectors.html
Day 1,16:30,End of day survey,,https://docs.google.com/forms/d/e/1FAIpQLSfKwOu6NXiT_aUkOiECyvdqRuXofRxVM5LnCJ1vPT5JagcyQA/viewform?vc=0&c=0&w=1&flr=0&usp=mail_form_link
Day 2,09:00,Dataframes and lists,,../sessions/df-lists.html
Day 2,10:15,Tea break,,
Day 2,10:30,R packages and libraries,,../sessions/packages-libraries.html
Day 2,12:15,Lunch,,
Day 2,13:00,Discussion day 2,,../appendix/discussion.qmd#discussion-day-two
Day 2,13:30,Basic data import,,../sessions/basic-import.html
Day 2,15:00,Tea break,,
Day 2,15:15,Basic data visualization,,../sessions/basic-visualization.html
Day 2,16:30,Help and documentation,,../sessions/help-docs.html
Day 2,16:45,End of day survey,,https://docs.google.com/forms/d/e/1FAIpQLSfKwOu6NXiT_aUkOiECyvdqRuXofRxVM5LnCJ1vPT5JagcyQA/viewform?vc=0&c=0&w=1&flr=0&usp=mail_form_link
